MOOD,MOOD_NOTE,support_message
cemas,Saya penasaran apakah pemilik rumah akan merasa aneh jika saya memarkir mobil untuk mengagumi taman mereka.,"Kecemasan yang kamu rasain itu valid, dan aku tahu pikiranmu pasti lagi berisik banget sekarang. Kamu jauh lebih kuat dari rasa takutmu, dan aku yakin banget kamu bisa ngelewatin ini semua."
cemas,Saya merasa tidak sabar dengan laju kerugian tersebut sekaligus terkesan.,"Nggak apa-apa merasa gugup, itu tanda kalau kamu peduli sama hal yang lagi kamu hadapi ini. Yuk, coba fokus ke hal-hal kecil yang bisa kamu kontrol hari ini aja, pelan-pelan pasti badainya reda."
bahagia,"Saya bertubuh besar dan saya pernah masuk ke beberapa alat berat yang pernah kami gunakan untuk mencoba dan merasakan bagaimana rasanya, dan percayalah, itu sama sekali tidak menyenangkan.","Wah, ikut seneng banget dengar kabar baik dari kamu hari ini, senyummu nular banget! Jangan lupa kasih *reward* buat dirimu sendiri ya, kamu pantes dapetin semua kebahagiaan ini."
cemas,"Aku pergi berbelanja untuk membeli beberapa baju tidur ukuran bayi baru lahir untuk Cora (aku belum pernah membuat baju bayi ukuran baru lahir sebelumnya) dan pergi makan siang untuk merayakan betapa baiknya perasaanku. Aku merasa luar biasa, tidak sakit, tidak minum obat penghilang rasa sakit, dan bisa bergerak hampir sepenuhnya normal saat beraktivitas di luar rumah.","Aku ngerti kamu lagi takut dan overthinking, wajar kok kalau sesekali kita merasa kewalahan. Semuanya bakal baik-baik aja kok, kamu udah pernah ngelewatin masa sulit sebelumnya dan kali ini pun pasti bisa."
bahagia,Aku benar-benar tidak merasa cocok dengan suasana yang ramah anak.,"Segala kerja keras dan perjuanganmu akhirnya kebayar lunas ya, aku bangga banget sama kamu! Aku bakal selalu ada buat ikut bersorak di setiap keberhasilanmu, terus tebar energi positif ini ya!"
marah,Aku merasa sangat marah pada diriku sendiri,"Denger ceritamu, siapapun pasti bakal ikutan gondok dan ngerasa muak sama situasi kayak gini. Jangan biarin mereka merusak harimu terlalu lama, kamu jauh lebih berharga dari situasi yang nyebelin ini."
cemas,"Saya berpikir atau merasa, tetapi seperti orang ini, saya masih kagum padanya.","Tarik napas pelan-pelan ya, wajar banget kalau kamu merasa kewalahan dengan semua ketidakpastian ini. Kamu jauh lebih kuat dari rasa takutmu, dan aku yakin banget kamu bisa ngelewatin ini semua."
bahagia,"Saya ingin berpikir bahwa saya menampilkan diri saya dan kehidupan serta keseharian seorang ibu bekerja dengan standar yang baik, dan jika saya pernah lupa menambahkan tanda apostrof atau salah mengeja kata tertentu, jangan ragu untuk mengoreksi saya.","Seru banget! Momen manis kayak gini emang paling pas buat disyukuri dan dirayain bareng-bareng. Jadikan momen bahagia ini energi tambahan buat ngejar mimpi-mimpimu yang lebih besar lagi, selamat ya!"
sedih,Aku merasa tidak bisa menanyakan pertanyaan yang menurutku bodoh ini kepadanya.,"Wajar banget kalau kamu merasa hancur atau kecewa, perasaan sedihmu itu valid kok. Jangan ragu buat cerita kapan pun kamu butuh teman, karena kamu selalu punya tempat buat bersandar."
bahagia,"Saya merasa bangga mengenal beberapa orang yang sudah lama layak mendapatkan promosi dan akhirnya mendapatkannya kali ini, atau dalam beberapa kasus, terakhir kali.","Wah, ikut seneng banget dengar kabar baik dari kamu hari ini, senyummu nular banget! Jadikan momen bahagia ini energi tambahan buat ngejar mimpi-mimpimu yang lebih besar lagi, selamat ya!"
sedih,Saya menyerah pada tujuan saya jika saya merasa tujuan tersebut membosankan.,"Nggak apa-apa kalau kamu butuh waktu buat nangis atau istirahat sebentar dari semuanya. Kamu nggak sendirian ngelewatin ini, aku ada di sini buat nemenin kamu pelan-pelan bangkit lagi ya."
bahagia,Saya berhati-hati untuk memastikan karakter-karakter yang ditampilkan dapat membuat Anda merasa simpati.,"Segala kerja keras dan perjuanganmu akhirnya kebayar lunas ya, aku bangga banget sama kamu! Jangan lupa kasih *reward* buat dirimu sendiri ya, kamu pantes dapetin semua kebahagiaan ini."
sedih,"Aku tidak jadi datang ke pertemuan Weight Watchers karena merasa bersalah. Aku memastikan sarapanku sehat, terdiri dari muesli, yoghurt, dan buah-buahan.","Nggak apa-apa kalau kamu butuh waktu buat nangis atau istirahat sebentar dari semuanya. Meskipun sekarang rasanya gelap banget, pelan-pelan pasti bakal ada titik terangnya kok, semangat ya!"
bahagia,"Aku merasakan bagian yang nyeri di kakiku saat aku menekuknya dengan cara tertentu, jadi aku harus kembali memakai sepatu sepanjang hari, si koboi ini.","Wah, ikut seneng banget dengar kabar baik dari kamu hari ini, senyummu nular banget! Aku bakal selalu ada buat ikut bersorak di setiap keberhasilanmu, terus tebar energi positif ini ya!"
cemas,Aku tahu kan rasanya aneh itu?,"Tarik napas pelan-pelan ya, wajar banget kalau kamu merasa kewalahan dengan semua ketidakpastian ini. Kamu jauh lebih kuat dari rasa takutmu, dan aku yakin banget kamu bisa ngelewatin ini semua."
bahagia,Saya kira yoga seharusnya membuat saya merasa tenang dan damai serta membentuk kaki saya menjadi seperti kaki dewi Yunani.,"Seru banget! Momen manis kayak gini emang paling pas buat disyukuri dan dirayain bareng-bareng. Jangan lupa kasih *reward* buat dirimu sendiri ya, kamu pantes dapetin semua kebahagiaan ini."
bahagia,"Saya hanya merasa ini adalah salah satu hal yang sebaiknya tidak terlalu banyak dibicarakan karena nanti terlalu banyak orang yang tahu, dan rencana itu tidak akan terasa semanis dan tidak lagi seperti sebuah rencana.","Segala kerja keras dan perjuanganmu akhirnya kebayar lunas ya, aku bangga banget sama kamu! Aku bakal selalu ada buat ikut bersorak di setiap keberhasilanmu, terus tebar energi positif ini ya!"
sedih,"Aku meninggalkan teater, aku mengusap sedih sandaran kursi merah empuk di depanku, merasa hampir berduka karena aku tidak akan kembali untuk waktu yang lama.","Nggak apa-apa kalau kamu butuh waktu buat nangis atau istirahat sebentar dari semuanya. Peluk jauh dari sini, semoga hari esok bisa ngasih sedikit rasa lega buat hatimu yang lagi capek."
bahagia,"Saya bertanya kepada beberapa gadis apa arti dihargai bagi mereka, dan sebagian besar jawabannya adalah mereka merasa dihargai ketika orang-orang di sekitar mereka membuat mereka merasa dihargai dan memperlakukan mereka dengan penuh kasih sayang dan perhatian.","Alhamdulillah! Denger cerita bahagiamu bikin aku ikut ngerasain energi positif yang luar biasa. Jangan lupa kasih *reward* buat dirimu sendiri ya, kamu pantes dapetin semua kebahagiaan ini."
marah,Saat ini aku merasa sangat kesal.,"Denger ceritamu, siapapun pasti bakal ikutan gondok dan ngerasa muak sama situasi kayak gini. Jangan biarin mereka merusak harimu terlalu lama, kamu jauh lebih berharga dari situasi yang nyebelin ini."
bahagia,"Bukan aku yang awalnya membantu, tapi aku menyadari bahwa akulah yang menginspirasi semua orang ini untuk memulai pekerjaan amal, dan aku merasa sangat bangga.","Wah, ikut seneng banget dengar kabar baik dari kamu hari ini, senyummu nular banget! Jangan lupa kasih *reward* buat dirimu sendiri ya, kamu pantes dapetin semua kebahagiaan ini."
bahagia,Aku merasa sangat gembira dan antusias sekali menantikan pernikahanku.,"Wah, ikut seneng banget dengar kabar baik dari kamu hari ini, senyummu nular banget! Semoga hari-harimu ke depan makin banyak kejutan seru dan keberuntungan kayak gini ya, terus semangat!"
cemas,Aku merasa malu dengan cara yang aneh.,"Tarik napas pelan-pelan ya, wajar banget kalau kamu merasa kewalahan dengan semua ketidakpastian ini. Yuk, coba fokus ke hal-hal kecil yang bisa kamu kontrol hari ini aja, pelan-pelan pasti badainya reda."
sedih,Saya menduga sebagian besar negara merasakan dampak dari peristiwa tragis pekan lalu.,"Dengar ceritamu, aku bisa ngerasain betapa melelahkannya situasi yang lagi kamu hadapin sekarang. Kasih waktu buat dirimu pulih, besok kita coba langkah kecil lagi karena aku yakin kamu pasti bisa."
bahagia,Aku merasa seperti itu karena sebagian besar aku telah menerima bahwa ini adalah bagian dari hidupku dan bahwa orang-orang tidak akan pernah berubah.,"Wah, ikut seneng banget dengar kabar baik dari kamu hari ini, senyummu nular banget! Aku bakal selalu ada buat ikut bersorak di setiap keberhasilanmu, terus tebar energi positif ini ya!"
bahagia,Saya merasa membuat makanan membuat saya rileks dan saya merasa produktif karena produk akhirnya harus enak dan memuaskan saya serta orang lain.,"Segala kerja keras dan perjuanganmu akhirnya kebayar lunas ya, aku bangga banget sama kamu! Jangan lupa kasih *reward* buat dirimu sendiri ya, kamu pantes dapetin semua kebahagiaan ini."
marah,Saya merasa terkadang saya kurang fokus dan lalai. Saya bersyukur bahwa ini bukan sekadar menambah daftar tugas di tengah kesibukan saya sehari-hari.,"Kamu berhak marah dan merasa direndahkan ketika perlakuan yang kamu terima memang nggak sepantasnya. Ambil waktu buat nenangin diri dulu, aku bakal selalu dukung kamu buat nemuin solusi yang terbaik."
sedih,"Saya bersimpati kepada orang-orang ini, tetapi kalimat pembuka itu menunjukkan betapa tidak memadainya kata-kata sederhana.","Aku tahu beban yang lagi kamu pikul ini berat banget, dan kamu udah berusaha sebaik mungkin. Meskipun sekarang rasanya gelap banget, pelan-pelan pasti bakal ada titik terangnya kok, semangat ya!"
sedih,"Aku sudah terlalu jauh masuk ke rawa-rawa, berenang di air berlumpur, disiksa oleh rasa takut, merasa kesepian dan tersesat.","Wajar banget kalau kamu merasa hancur atau kecewa, perasaan sedihmu itu valid kok. Peluk jauh dari sini, semoga hari esok bisa ngasih sedikit rasa lega buat hatimu yang lagi capek."
bahagia,Saya tidak merasa berbakat dalam hal apa pun yang saya lakukan dan akhirnya tidak mengerahkan seluruh kemampuan saya untuk itu.,"Alhamdulillah! Denger cerita bahagiamu bikin aku ikut ngerasain energi positif yang luar biasa. Aku bakal selalu ada buat ikut bersorak di setiap keberhasilanmu, terus tebar energi positif ini ya!"
marah,"Setelah membaca blognya, saya merasa dia adalah tipe orang yang tidak peduli bagaimana orang lain memandangnya dan percaya untuk menjadi dirinya sendiri, tidak peduli seberapa judes, menyebalkan, atau egoisnya dia terlihat di mata orang lain.","Wajar kok kalau kamu meledak, menahan rasa jengkel yang kelewat batas emang nggak baik buat kamu. Keluarin aja semua unek-unekmu sampai lega, habis itu kita pakai energimu buat hal yang lebih positif ya."
marah,"Aku duduk di sini merasa sangat terganggu dan belum ingin menulis adegan selanjutnya dari cerita pendekku tentang pemerkosaan, penyiksaan, dan hal-hal buruk lainnya.","Kamu berhak marah dan merasa direndahkan ketika perlakuan yang kamu terima memang nggak sepantasnya. Setelah emosimu reda nanti, aku yakin kamu bisa ngambil keputusan dengan jauh lebih bijak dan elegan."
sedih,Saya menemukan sesuatu yang membuat saya merasa tidak enak.,"Aku tahu beban yang lagi kamu pikul ini berat banget, dan kamu udah berusaha sebaik mungkin. Jangan ragu buat cerita kapan pun kamu butuh teman, karena kamu selalu punya tempat buat bersandar."
bahagia,"Aku suka naik wahana, tapi hari ini aku merasa kurang enak badan.","Pencapaianmu ini luar biasa, kamu emang pantas banget buat ngerayain momen seru ini. Nikmatin perasaan damai dan seneng ini sepuasnya, semoga kebahagiaan ini menetap lama di hatimu."
marah,Saya merasa terganggu oleh hal-hal ini saat saya membuka pintu.,"Denger ceritamu, siapapun pasti bakal ikutan gondok dan ngerasa muak sama situasi kayak gini. Jangan biarin mereka merusak harimu terlalu lama, kamu jauh lebih berharga dari situasi yang nyebelin ini."
bahagia,Aku merasa nostalgia saat memikirkan Little Bishop Chronicles yang sempat ditinggalkan untuk sementara waktu.,"Segala kerja keras dan perjuanganmu akhirnya kebayar lunas ya, aku bangga banget sama kamu! Nikmatin perasaan damai dan seneng ini sepuasnya, semoga kebahagiaan ini menetap lama di hatimu."
sedih,"Aku memaafkan diriku sendiri karena telah menerima dan membiarkan diriku berpikir bahwa saat aku menulis blog ini, seseorang akan merasa kasihan padaku, memberiku simpati, dan mengatakan bahwa aku benar.","Wajar banget kalau kamu merasa hancur atau kecewa, perasaan sedihmu itu valid kok. Meskipun sekarang rasanya gelap banget, pelan-pelan pasti bakal ada titik terangnya kok, semangat ya!"
marah,Saya merasa kesal dengan banyaknya orang yang datang ke kantor kami mengeluh tentang keadaan mereka sendiri. Saya menyadari bahwa saya tidak berlatih memikirkan hal-hal baik dan saya merasa itu adalah cara yang lebih baik untuk memfokuskan diri pada saat ini.,"Kamu berhak marah dan merasa direndahkan ketika perlakuan yang kamu terima memang nggak sepantasnya. Keluarin aja semua unek-unekmu sampai lega, habis itu kita pakai energimu buat hal yang lebih positif ya."
sedih,"Saya sangat menyadari betapa kuatnya perasaan yang dirasakan keluarga ini mengenai kematian tragis dan tidak perlu yang menimpa begitu banyak pria, wanita, dan anak-anak.","Aku tahu beban yang lagi kamu pikul ini berat banget, dan kamu udah berusaha sebaik mungkin. Kasih waktu buat dirimu pulih, besok kita coba langkah kecil lagi karena aku yakin kamu pasti bisa."
bahagia,"Perasaan saya terhadap kalian semua yang telah mendukung saya sangat luar biasa, tidak mungkin untuk memberikan nilai angka apa pun untuk itu.","Pencapaianmu ini luar biasa, kamu emang pantas banget buat ngerayain momen seru ini. Jangan lupa kasih *reward* buat dirimu sendiri ya, kamu pantes dapetin semua kebahagiaan ini."
sedih,"Saya merasa tugas-tugas seperti itu tidak penting bagi profesi kita, saya hanya tidak berwenang untuk membahas semuanya.","Aku ngerti banget ini masa yang berat buat kamu, dan gapapa kok kalau hari ini kamu ngerasa capek. Kamu nggak sendirian ngelewatin ini, aku ada di sini buat nemenin kamu pelan-pelan bangkit lagi ya."
bahagia,"Saya merasa bangga dan bahagia, serta sangat berterima kasih kepada semua yang telah membaca tulisan saya.","Segala kerja keras dan perjuanganmu akhirnya kebayar lunas ya, aku bangga banget sama kamu! Semoga hari-harimu ke depan makin banyak kejutan seru dan keberuntungan kayak gini ya, terus semangat!"
cemas,"Aku merasa gemetar karena gejolak emosi yang melanda, tapi aku masih tetap tegar.","Pasti rasanya nggak enak banget ya ngerasa panik dan deg-degan kayak gini. Kapan pun kamu butuh bantuan buat nenangin pikiran, aku siap dengerin ceritamu sampai kamu merasa baikan."
marah,Aku merasa ingin bersikap keras kepala dan pelit.,"Rasa kecewa dan emosimu itu manusiawi banget, apalagi kalau usahamu nggak dihargai. Ambil waktu buat nenangin diri dulu, aku bakal selalu dukung kamu buat nemuin solusi yang terbaik."
bahagia,"Aku merasa aku bisa keluar masuk kehidupan kalian semua, menginjak hati kalian yang penuh cinta dengan sepatu hak tinggiku.","Segala kerja keras dan perjuanganmu akhirnya kebayar lunas ya, aku bangga banget sama kamu! Aku bakal selalu ada buat ikut bersorak di setiap keberhasilanmu, terus tebar energi positif ini ya!"
sedih,Saya membaca ulang untuk mencari kenyamanan; keakraban dengan buku yang alurnya sudah saya ketahui lebih mudah dihadapi ketika saya merasa stres daripada buku baru yang penuh dengan hal-hal yang tidak saya ketahui.,"Wajar banget kalau kamu merasa hancur atau kecewa, perasaan sedihmu itu valid kok. Kamu nggak sendirian ngelewatin ini, aku ada di sini buat nemenin kamu pelan-pelan bangkit lagi ya."
sedih,"Aku menyukainya, tapi kadang-kadang aku merasa lelah.","Aku tahu beban yang lagi kamu pikul ini berat banget, dan kamu udah berusaha sebaik mungkin. Jangan ragu buat cerita kapan pun kamu butuh teman, karena kamu selalu punya tempat buat bersandar."
cemas,"Maaf, aku merasa sangat ragu tentang hal ini.","Tarik napas pelan-pelan ya, wajar banget kalau kamu merasa kewalahan dengan semua ketidakpastian ini. Kapan pun kamu butuh bantuan buat nenangin pikiran, aku siap dengerin ceritamu sampai kamu merasa baikan."
sedih,"Aku merasa tidak enak badan, aku akan mencari pujian seperti gadis-gadis lainnya.","Nggak apa-apa kalau kamu butuh waktu buat nangis atau istirahat sebentar dari semuanya. Meskipun sekarang rasanya gelap banget, pelan-pelan pasti bakal ada titik terangnya kok, semangat ya!"
marah,"Saya sedang tidur, saya tidak akan merasakan sakit, tetapi tindakan kekerasan itu tetap saja sama sekali tidak dapat dibenarkan.","Wajar kok kalau kamu meledak, menahan rasa jengkel yang kelewat batas emang nggak baik buat kamu. Jangan biarin mereka merusak harimu terlalu lama, kamu jauh lebih berharga dari situasi yang nyebelin ini."
sedih,Aku merasa terbebani dan terjebak di tengah terowongan gelap.,"Dengar ceritamu, aku bisa ngerasain betapa melelahkannya situasi yang lagi kamu hadapin sekarang. Kamu nggak sendirian ngelewatin ini, aku ada di sini buat nemenin kamu pelan-pelan bangkit lagi ya."
marah,"Aku tahu perasaan mereka sangat nyata dan bukan hal sepele, tapi perasaanku pun juga tidak demikian.","Wajar kok kalau kamu meledak, menahan rasa jengkel yang kelewat batas emang nggak baik buat kamu. Setelah emosimu reda nanti, aku yakin kamu bisa ngambil keputusan dengan jauh lebih bijak dan elegan."
cemas,Aku akan mendongak ke arah gedung-gedung pencakar langit dan merasa takjub bahwa gadis kecil dari Montana ini ada di sana.,"Kecemasan yang kamu rasain itu valid, dan aku tahu pikiranmu pasti lagi berisik banget sekarang. Kamu jauh lebih kuat dari rasa takutmu, dan aku yakin banget kamu bisa ngelewatin ini semua."
marah,"Aku tidak mau, aku merasa kesal.","Rasa kecewa dan emosimu itu manusiawi banget, apalagi kalau usahamu nggak dihargai. Aku ada di sini buat jadi tempat sampah kekesalanmu, yuk lepaskan semuanya biar hatimu lebih lega."
sedih,Aku merasa penampilanku seperti tumpukan sampah yang menyedihkan.,"Nggak apa-apa kalau kamu butuh waktu buat nangis atau istirahat sebentar dari semuanya. Meskipun sekarang rasanya gelap banget, pelan-pelan pasti bakal ada titik terangnya kok, semangat ya!"
sedih,Aku benar-benar merasa tidak berguna di dunia ini.,"Dengar ceritamu, aku bisa ngerasain betapa melelahkannya situasi yang lagi kamu hadapin sekarang. Peluk jauh dari sini, semoga hari esok bisa ngasih sedikit rasa lega buat hatimu yang lagi capek."
cemas,Aku sama sekali tidak merasa takut atau apa pun saat ini.,"Aku ngerti kamu lagi takut dan overthinking, wajar kok kalau sesekali kita merasa kewalahan. Nggak perlu buru-buru cari semua jawaban sekarang, pelan-pelan aja dan aku bakal temenin kamu."
bahagia,Saya sekarang sudah menjalani program ini selama dua hari dan saya merasa positif.,"Seru banget! Momen manis kayak gini emang paling pas buat disyukuri dan dirayain bareng-bareng. Jadikan momen bahagia ini energi tambahan buat ngejar mimpi-mimpimu yang lebih besar lagi, selamat ya!"
sedih,Aku merasa sangat buruk karena kegiatan menulis jurnalku juga terhenti total.,"Wajar banget kalau kamu merasa hancur atau kecewa, perasaan sedihmu itu valid kok. Peluk jauh dari sini, semoga hari esok bisa ngasih sedikit rasa lega buat hatimu yang lagi capek."
bahagia,Saya merasa hari ini adalah hadiah positif yang diberikan kepada kami para guru setelah minggu yang sangat penuh tekanan.,"Seru banget! Momen manis kayak gini emang paling pas buat disyukuri dan dirayain bareng-bareng. Aku bakal selalu ada buat ikut bersorak di setiap keberhasilanmu, terus tebar energi positif ini ya!"
cemas,Saya juga merasa gemetar pagi ini setelah meminumnya.,"Kecemasan yang kamu rasain itu valid, dan aku tahu pikiranmu pasti lagi berisik banget sekarang. Kamu jauh lebih kuat dari rasa takutmu, dan aku yakin banget kamu bisa ngelewatin ini semua."
marah,Aku merasa mereka terburu-buru dalam menjalin hubungan.,"Denger ceritamu, siapapun pasti bakal ikutan gondok dan ngerasa muak sama situasi kayak gini. Setelah emosimu reda nanti, aku yakin kamu bisa ngambil keputusan dengan jauh lebih bijak dan elegan."
sedih,"Saya berpendapat bahwa perasaan-perasaan ini seharusnya ditekan, bukan diungkapkan.","Nggak apa-apa kalau kamu butuh waktu buat nangis atau istirahat sebentar dari semuanya. Kasih waktu buat dirimu pulih, besok kita coba langkah kecil lagi karena aku yakin kamu pasti bisa."
bahagia,"Saya merasa sangat iri dan membenci diri sendiri, dan saya merasakan hal ini terhadap kehidupan teman-teman dan kenalan saya yang digambarkan di media sosial.","Wah, ikut seneng banget dengar kabar baik dari kamu hari ini, senyummu nular banget! Aku bakal selalu ada buat ikut bersorak di setiap keberhasilanmu, terus tebar energi positif ini ya!"
cemas,Kurasa terakhir kali kaulah yang merasa paranoid.,"Kecemasan yang kamu rasain itu valid, dan aku tahu pikiranmu pasti lagi berisik banget sekarang. Semuanya bakal baik-baik aja kok, kamu udah pernah ngelewatin masa sulit sebelumnya dan kali ini pun pasti bisa."
marah,Aku tahu bagaimana rasanya disiksa,"Kamu berhak marah dan merasa direndahkan ketika perlakuan yang kamu terima memang nggak sepantasnya. Jangan biarin mereka merusak harimu terlalu lama, kamu jauh lebih berharga dari situasi yang nyebelin ini."
bahagia,Saya akan memberi tahu Anda bahwa saya merasa cukup bersemangat.,"Pencapaianmu ini luar biasa, kamu emang pantas banget buat ngerayain momen seru ini. Semoga hari-harimu ke depan makin banyak kejutan seru dan keberuntungan kayak gini ya, terus semangat!"
sedih,Aku melampiaskan perasaanku pada orang yang tidak becus berkomunikasi itu.,"Aku ngerti banget ini masa yang berat buat kamu, dan gapapa kok kalau hari ini kamu ngerasa capek. Peluk jauh dari sini, semoga hari esok bisa ngasih sedikit rasa lega buat hatimu yang lagi capek."
bahagia,Saya menyukai medan di sana dan merasa ingin pergi ke sana lagi.,"Seru banget! Momen manis kayak gini emang paling pas buat disyukuri dan dirayain bareng-bareng. Nikmatin perasaan damai dan seneng ini sepuasnya, semoga kebahagiaan ini menetap lama di hatimu."
bahagia,"Aku merasakan kehadiranmu, sentuhan lembut.","Segala kerja keras dan perjuanganmu akhirnya kebayar lunas ya, aku bangga banget sama kamu! Aku bakal selalu ada buat ikut bersorak di setiap keberhasilanmu, terus tebar energi positif ini ya!"
sedih,Saya masih merasa agak lesu karena kurang tidur dan berusaha untuk tidur lebih lama setiap pagi sebisa mungkin.,"Nggak apa-apa kalau kamu butuh waktu buat nangis atau istirahat sebentar dari semuanya. Meskipun sekarang rasanya gelap banget, pelan-pelan pasti bakal ada titik terangnya kok, semangat ya!"
marah,"Aku akan merasa begitu, entah bagaimana, mungkin sedikit kesal.","Denger ceritamu, siapapun pasti bakal ikutan gondok dan ngerasa muak sama situasi kayak gini. Ambil waktu buat nenangin diri dulu, aku bakal selalu dukung kamu buat nemuin solusi yang terbaik."
sedih,Awalnya saya tidak menyukainya karena saya merasa rambut saya terasa sangat kotor meskipun saya baru saja mencuci rambut.,"Aku tahu beban yang lagi kamu pikul ini berat banget, dan kamu udah berusaha sebaik mungkin. Meskipun sekarang rasanya gelap banget, pelan-pelan pasti bakal ada titik terangnya kok, semangat ya!"
marah,Aku melihat situasi mereka dan merasa sangat cemburu hingga hampir tak tahan lagi.,"Rasa kecewa dan emosimu itu manusiawi banget, apalagi kalau usahamu nggak dihargai. Ambil waktu buat nenangin diri dulu, aku bakal selalu dukung kamu buat nemuin solusi yang terbaik."
bahagia,Saya merasa menang hari ini.,"Alhamdulillah! Denger cerita bahagiamu bikin aku ikut ngerasain energi positif yang luar biasa. Semoga hari-harimu ke depan makin banyak kejutan seru dan keberuntungan kayak gini ya, terus semangat!"
bahagia,"Saya merasa penulis ingin saya berpikir begitu, dan menyatakan bahwa dia tidak lagi menyukai pulsar adalah hal sepele dan lucu yang menunjukkan karakternya.","Seru banget! Momen manis kayak gini emang paling pas buat disyukuri dan dirayain bareng-bareng. Aku bakal selalu ada buat ikut bersorak di setiap keberhasilanmu, terus tebar energi positif ini ya!"
sedih,Aku sedang merasa sentimental atau butuh kepastian.,"Aku tahu beban yang lagi kamu pikul ini berat banget, dan kamu udah berusaha sebaik mungkin. Meskipun sekarang rasanya gelap banget, pelan-pelan pasti bakal ada titik terangnya kok, semangat ya!"
sedih,Saya pernah membaca sesuatu yang menjelaskan mengapa saya selalu merasa seperti ini dan meyakinkan saya bahwa saya tidak cacat sama sekali.,"Aku tahu beban yang lagi kamu pikul ini berat banget, dan kamu udah berusaha sebaik mungkin. Kamu nggak sendirian ngelewatin ini, aku ada di sini buat nemenin kamu pelan-pelan bangkit lagi ya."
bahagia,"Saya sering berinteraksi dengan mereka, dan semakin cepat saya bisa memahami bagaimana bersikap baik kepada mereka dalam segala situasi, semakin cepat mereka akan merasa dihargai, diapresiasi, dan dicintai, serta memiliki keinginan untuk belajar bagaimana meneruskan kebaikan itu kepada orang lain, seperti yang sedang saya pelajari.","Segala kerja keras dan perjuanganmu akhirnya kebayar lunas ya, aku bangga banget sama kamu! Jangan lupa kasih *reward* buat dirimu sendiri ya, kamu pantes dapetin semua kebahagiaan ini."
sedih,"Saya mencoba menambahkan jenis keju lain, dan itu pun dalam jumlah kecil, dan saya langsung merasa tidak enak badan lagi.","Aku ngerti banget ini masa yang berat buat kamu, dan gapapa kok kalau hari ini kamu ngerasa capek. Kasih waktu buat dirimu pulih, besok kita coba langkah kecil lagi karena aku yakin kamu pasti bisa."
bahagia,"Sepertinya aku memiliki minat yang sama terhadap perjalanan jarak jauh dan Harley Davidson, jadi aku yakin kita akan membuat setiap orang yang berada dalam jangkauan pendengaran merasa bosan setengah mati.","Segala kerja keras dan perjuanganmu akhirnya kebayar lunas ya, aku bangga banget sama kamu! Jadikan momen bahagia ini energi tambahan buat ngejar mimpi-mimpimu yang lebih besar lagi, selamat ya!"
bahagia,"Aku tidak tahu apakah itu sebagian besar karena dia memaksakan diri untuk mengalihkan perhatian atau karena dia merasa lebih bertekad atau apa, tetapi kupikir meskipun dia masih terluka, dia belajar untuk mengatasinya. Kame menarik napas.","Seru banget! Momen manis kayak gini emang paling pas buat disyukuri dan dirayain bareng-bareng. Aku bakal selalu ada buat ikut bersorak di setiap keberhasilanmu, terus tebar energi positif ini ya!"
marah,Saya membantu putri saya ketika dia merasa marah.,"Rasa kecewa dan emosimu itu manusiawi banget, apalagi kalau usahamu nggak dihargai. Keluarin aja semua unek-unekmu sampai lega, habis itu kita pakai energimu buat hal yang lebih positif ya."
sedih,"Saya merasa sangat buruk ketika saya menyakiti perasaan orang lain, dan saya selalu berharap tidak akan pernah melakukannya lagi.","Aku ngerti banget ini masa yang berat buat kamu, dan gapapa kok kalau hari ini kamu ngerasa capek. Kamu nggak sendirian ngelewatin ini, aku ada di sini buat nemenin kamu pelan-pelan bangkit lagi ya."
bahagia,"Aku merasa sedikit glamor, aku membasahi kuas.","Wah, ikut seneng banget dengar kabar baik dari kamu hari ini, senyummu nular banget! Semoga hari-harimu ke depan makin banyak kejutan seru dan keberuntungan kayak gini ya, terus semangat!"
cemas,"Aku hanya merasakan kehadiranmu, jadi jangan takut dan berdoa lagi, aku membutuhkanmu, kembalilah ke masa lalu, ampuni dosa-dosaku, jadi kemalasan","Nggak apa-apa merasa gugup, itu tanda kalau kamu peduli sama hal yang lagi kamu hadapi ini. Semuanya bakal baik-baik aja kok, kamu udah pernah ngelewatin masa sulit sebelumnya dan kali ini pun pasti bisa."
sedih,Aku tumbuh dewasa dengan perasaan jelek dan tidak berharga.,"Aku ngerti banget ini masa yang berat buat kamu, dan gapapa kok kalau hari ini kamu ngerasa capek. Kasih waktu buat dirimu pulih, besok kita coba langkah kecil lagi karena aku yakin kamu pasti bisa."
sedih,Aku merasa sangat lega setelah merasa malu dengan pakaian-pakaian ini dan siap untuk menyumbangkannya ke badan amal atau membuangnya.,"Wajar banget kalau kamu merasa hancur atau kecewa, perasaan sedihmu itu valid kok. Kamu nggak sendirian ngelewatin ini, aku ada di sini buat nemenin kamu pelan-pelan bangkit lagi ya."
bahagia,Saya rasa kita belum sampai pada titik itu dan saya memperkirakan akan ada banyak bolak-balik antara tempat tidur saya dan tempat tidur bayi sampai dia cukup besar untuk tidak lagi merasa bahwa saya adalah satu-satunya jawaban yang dapat diterima dalam kegelapan.,"Seru banget! Momen manis kayak gini emang paling pas buat disyukuri dan dirayain bareng-bareng. Jadikan momen bahagia ini energi tambahan buat ngejar mimpi-mimpimu yang lebih besar lagi, selamat ya!"
